category,year,optimal_lag_months,correlation,pvalue,ci_lower,ci_upper,n,statistically_defensible,note
running_shoes,2018,,,,,,24,False,no p<0.05 lag with CI excluding zero
running_shoes,2019,,,,,,24,False,no p<0.05 lag with CI excluding zero
running_shoes,2020,0.0,-0.6278716145725177,0.0010204673127440773,-0.8228571424053022,-0.3006079526151535,24,True,
running_shoes,2021,,,,,,24,False,no p<0.05 lag with CI excluding zero
running_shoes,2022,6.0,-0.5796831428613973,0.01168635170656961,-0.8236477090718483,-0.15466428156000003,18,True,
running_shoes,2023,3.0,-0.5536423437476566,0.009220368430264674,-0.7952646692560286,-0.1602487292567274,21,True,
apparel,2018,,,,,,24,False,no p<0.05 lag with CI excluding zero
apparel,2019,,,,,,24,False,no p<0.05 lag with CI excluding zero
apparel,2020,3.0,0.5974392073137228,0.00423792627834633,0.22334984269520908,0.8181287161976599,21,True,
apparel,2021,0.0,0.5540713071393938,0.004964968086598751,0.19403833890671604,0.7825610903397392,24,True,
apparel,2022,,,,,,24,False,no p<0.05 lag with CI excluding zero
apparel,2023,,,,,,24,False,no p<0.05 lag with CI excluding zero
furniture,2018,,,,,,24,False,no p<0.05 lag with CI excluding zero
furniture,2019,,,,,,24,False,no p<0.05 lag with CI excluding zero
furniture,2020,6.0,0.8113967995394089,4.370809291680268e-05,0.5546234551402834,0.9270764597457483,18,True,
furniture,2021,,,,,,24,False,no p<0.05 lag with CI excluding zero
furniture,2022,,,,,,24,False,no p<0.05 lag with CI excluding zero
furniture,2023,1.0,0.4586088954572151,0.027735647079354827,0.05721636812317433,0.7323688147598021,23,True,
laptops,2018,0.0,0.48426277354649716,0.01648702113990016,0.100490653933786,0.742597306373996,24,True,
laptops,2019,0.0,0.5334801679355707,0.0072608550517623445,0.16574687395227886,0.7709657309866852,24,True,
laptops,2020,6.0,0.7442476201704018,0.0003972005958001554,0.4250705327563716,0.8988124786569355,18,True,
laptops,2021,3.0,-0.496884004412811,0.02193531991992757,-0.7645750519255964,-0.0829923081106423,21,True,
laptops,2022,,,,,,24,False,no p<0.05 lag with CI excluding zero
laptops,2023,2.0,0.4684887316716301,0.02786853735253807,0.05841093510605948,0.7432882070246062,22,True,
washing_machines,2018,1.0,0.5628200664421468,0.005175203974712357,0.19610819169014457,0.7914199575855668,23,True,
washing_machines,2019,,,,,,24,False,no p<0.05 lag with CI excluding zero
washing_machines,2020,6.0,0.7803322715849379,0.00013320888806132408,0.49310133930851635,0.9141624481311875,18,True,
washing_machines,2021,,,,,,24,False,no p<0.05 lag with CI excluding zero
washing_machines,2022,2.0,0.4300775906642095,0.045735431710202154,0.01033667014212384,0.7209626453230698,22,True,
washing_machines,2023,,,,,,24,False,no p<0.05 lag with CI excluding zero
